Hole,Net,ConnectedLead
e3,GND,U2.1
e4,PWM_L_3V3,U2.2
e5,PWM_L_5V,U2.3
e6,GND,U2.4
e7,PWM_R_3V3,U2.5
e8,PWM_R_5V,U2.6
e9,GND,U2.7
f9,NC_U2_8,U2.8
f8,GND,U2.9
f7,LOGIC5,U2.10
f6,NC_U2_11,U2.11
f5,GND,U2.12
f4,LOGIC5,U2.13
f3,LOGIC5,U2.14
a13,ESP_L_TX,U1.IO17
a14,ML_TX,U1.IO16
a15,ESP_R_TX,U1.IO25
a16,MR_TX,U1.IO26
c14,ML_TX,MDL.TX
c16,MR_TX,MDR.TX
j13,ML_RX,MDL.RX
j15,MR_RX,MDR.RX
a4,PWM_L_3V3,U1.IO13
a7,PWM_R_3V3,U1.IO14
c11,SERVO_L,SVL.PWM
c12,SERVO_R,SVR.PWM
e13,ESP_L_TX,R1.1
f13,ML_RX,R1.2
e15,ESP_R_TX,R2.1
f15,MR_RX,R2.2
d5,PWM_L_5V,R3.1
d11,SERVO_L,R3.2
b8,PWM_R_5V,R4.1
b12,SERVO_R,R4.2
b4,PWM_L_3V3,R5.1
T-4,GND,R5.2
b7,PWM_R_3V3,R6.1
T-7,GND,R6.2
j3,LOGIC5,C1.1
B-3,GND,C1.2
a20,IMU_SCK,U1.IO18
c20,IMU_SCK,IMU1.SCL
a21,IMU_MOSI,U1.IO23
c21,IMU_MOSI,IMU1.DI
a22,IMU_MISO,U1.IO19
c22,IMU_MISO,IMU1.SDA
a23,IMU_CS,U1.IO27
c23,IMU_CS,IMU1.CS
a24,IMU_INT,U1.IO34
c24,IMU_INT,IMU1.INT
a25,IMU_RST,U1.IO32
c25,IMU_RST,IMU1.RST
a27,TOF_SDA,U1.IO21
c27,TOF_SDA,TOF1.SDA
a28,TOF_SCL,U1.IO22
c28,TOF_SCL,TOF1.SCL
T+1,P3V3,U1.3V3
T-1,GND,U1.GND
B+1,LOGIC5,F10.OUT
B-1,GND,X0
T+20,P3V3,IMU1.VIN
T-20,GND,IMU1.GND
T+21,P3V3,IMU1.P0
T+22,P3V3,IMU1.P1
T+23,P3V3,TOF1.VIN
T-23,GND,TOF1.GND
b3,GND,JMP1.1
T-3,GND,JMP1.2
b6,GND,JMP2.1
T-6,GND,JMP2.2
b9,GND,JMP3.1
T-9,GND,JMP3.2
h3,LOGIC5,JMP4.1
B+3,LOGIC5,JMP4.2
h4,LOGIC5,JMP5.1
B+4,LOGIC5,JMP5.2
h5,GND,JMP6.1
B-5,GND,JMP6.2
h7,LOGIC5,JMP7.1
B+7,LOGIC5,JMP7.2
h8,GND,JMP8.1
B-8,GND,JMP8.2
T-25,GND,JMP9.1
B-25,GND,JMP9.2
